ruler,frequency,roi_2.numLooks,key_resp_5.keys,rdtDropTime,rdtPressTime,reactionPress.keys,participant,block_number,fixation_cond,trialNumber,rt,identifier
BW,Low,0,None,3.0000000000000004,3.2179795000702143,g,21615,4,central,1,217.97950007021382,21615_4
BW,Low,0,None,1.5,1.6841547000221908,g,21615,4,central,2,184.1547000221908,21615_4
RG,Low,0,None,4,4.2337154999841005,g,21615,4,central,3,233.71549998410046,21615_4
RG,Low,0,None,1.5,1.7844273999799043,g,21615,4,central,4,284.4273999799043,21615_4
BW,High,0,None,5.5,5.718104100087658,g,21615,4,central,5,218.10410008765757,21615_4
RG,High,0,space,2.5,2.784383099991828,g,21615,4,central,8,284.3830999918282,21615_4
BW,Low,0,None,1.5,1.7504589001182467,g,21615,4,central,9,250.4589001182469,21615_4
RG,High,0,None,3.0000000000000004,3.2331314000766724,g,21615,4,central,10,233.13140007667198,21615_4
BW,High,0,None,1,1.334494600072503,g,21615,4,central,11,334.4946000725031,21615_4
BW,Low,0,None,3.5,3.7664758001919836,g,21615,4,central,12,266.47580019198404,21615_4
BW,High,0,None,6.5,6.684891600161791,g,21615,4,central,13,184.89160016179085,21615_4
RG,High,0,None,1,1.2684259999077767,g,21615,4,central,14,268.4259999077767,21615_4
RG,Low,0,None,5.5,5.7172017998527735,g,21615,4,central,15,217.20179985277355,21615_4
RG,Low,0,None,4.500000000000001,4.734043000033125,g,21615,4,central,16,234.0430000331244,21615_4
BW,High,0,space,3.5,3.783797200070694,g,21615,4,central,17,283.7972000706941,21615_4
RG,Low,0,None,5.5,5.7674241999629885,g,21615,4,central,18,267.4241999629885,21615_4
RG,High,0,None,3.0000000000000004,3.2508270000107586,g,21615,4,central,19,250.82700001075776,21615_4
BW,Low,0,None,6,6.217467000009492,g,21615,4,central,20,217.46700000949204,21615_4
RG,High,0,None,1.5,1.7671427999157459,g,21615,4,central,21,267.1427999157461,21615_4
BW,High,0,None,1.5,1.8003950000274926,g,21615,4,central,22,300.39500002749264,21615_4
BW,Low,0,space,1,1.233380600111559,g,21615,4,central,23,233.38060011155903,21615_4
RG,Low,0,None,5.5,5.768010099884123,g,21615,4,central,24,268.0100998841226,21615_4
RG,High,0,None,4.500000000000001,4.7678239000961185,g,21615,4,central,25,267.82390009611845,21615_4
